date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2020-12-22 03:20:00,1.22261,1.22265,1.22271,1.2226,1.22275,1.2228,1.22282,1.22275,79
2020-12-22 03:21:00,1.22265,1.22258,1.22266,1.22248,1.22279,1.22271,1.22279,1.22263,191
2020-12-22 03:22:00,1.22258,1.22255,1.22261,1.22254,1.2227,1.22268,1.22274,1.22267,180
2020-12-22 03:23:00,1.22255,1.22251,1.22259,1.2225,1.22267,1.22265,1.22271,1.22262,168
2020-12-22 03:24:00,1.22251,1.22247,1.22252,1.22234,1.22264,1.2226,1.22265,1.22247,273
2020-12-22 03:25:00,1.22247,1.22246,1.2225,1.22243,1.22259,1.22258,1.22264,1.22257,93
2020-12-22 03:26:00,1.22245,1.22256,1.22256,1.22242,1.22258,1.22266,1.22266,1.22254,119
2020-12-22 03:27:00,1.22256,1.22252,1.22257,1.22251,1.22265,1.22263,1.22267,1.22262,43
2020-12-22 03:28:00,1.22251,1.22249,1.22252,1.22245,1.22263,1.22263,1.22263,1.22257,104
2020-12-22 03:29:00,1.2225,1.22251,1.22252,1.22248,1.22263,1.22264,1.22264,1.22261,68
2020-12-22 03:30:00,1.2225,1.22259,1.22262,1.2225,1.22264,1.22271,1.22275,1.22264,130
2020-12-22 03:31:00,1.22259,1.22255,1.2226,1.22254,1.22272,1.22268,1.22274,1.22267,70
2020-12-22 03:32:00,1.22255,1.22255,1.22258,1.22255,1.22269,1.22269,1.22271,1.22267,17
2020-12-22 03:33:00,1.22255,1.22258,1.22261,1.22255,1.22268,1.22271,1.22273,1.22268,30
2020-12-22 03:34:00,1.22259,1.22256,1.2226,1.22256,1.22271,1.22269,1.22273,1.22267,42
2020-12-22 03:35:00,1.22256,1.22247,1.22256,1.22244,1.22268,1.22258,1.22269,1.22255,66
2020-12-22 03:36:00,1.22246,1.2224,1.22247,1.2224,1.22258,1.22254,1.2226,1.22253,103
2020-12-22 03:37:00,1.22241,1.22246,1.2225,1.2224,1.22254,1.2226,1.22262,1.22254,86
2020-12-22 03:38:00,1.22247,1.22261,1.22261,1.22245,1.2226,1.22274,1.22274,1.22258,116
2020-12-22 03:39:00,1.2226,1.2226,1.22261,1.22255,1.22273,1.22272,1.22274,1.22267,61
2020-12-22 03:40:00,1.22259,1.2226,1.22261,1.22256,1.22271,1.22273,1.22274,1.22268,49
2020-12-22 03:41:00,1.22261,1.22276,1.22276,1.22258,1.22273,1.22289,1.22289,1.22272,94
2020-12-22 03:42:00,1.22276,1.22279,1.2228,1.22272,1.22288,1.22291,1.22294,1.22285,86
2020-12-22 03:43:00,1.22279,1.22276,1.22279,1.22275,1.2229,1.22289,1.22292,1.22287,32
2020-12-22 03:44:00,1.22276,1.2228,1.22281,1.22275,1.22288,1.22293,1.22294,1.22287,44
2020-12-22 03:45:00,1.2228,1.22281,1.22282,1.22277,1.22292,1.22293,1.22295,1.22291,65
2020-12-22 03:46:00,1.22281,1.22274,1.22285,1.22274,1.22294,1.22287,1.22298,1.22287,45
2020-12-22 03:47:00,1.22274,1.22273,1.22274,1.22269,1.22288,1.22288,1.22288,1.22283,60
2020-12-22 03:48:00,1.22273,1.22279,1.2228,1.22271,1.22286,1.22291,1.22293,1.22285,41
2020-12-22 03:49:00,1.22278,1.22275,1.2228,1.22275,1.22291,1.22288,1.22292,1.22287,24
2020-12-22 03:50:00,1.22274,1.22273,1.22275,1.22272,1.22288,1.22287,1.22289,1.22286,57
2020-12-22 03:51:00,1.22274,1.22275,1.2228,1.22274,1.22287,1.22288,1.22293,1.22287,60
2020-12-22 03:52:00,1.22275,1.22275,1.22276,1.22275,1.22287,1.22288,1.22288,1.22287,10
2020-12-22 03:53:00,1.22275,1.22275,1.22276,1.22274,1.22287,1.22287,1.22288,1.22286,21
2020-12-22 03:54:00,1.22275,1.22274,1.22276,1.22272,1.22288,1.22287,1.22288,1.22285,57
2020-12-22 03:55:00,1.22275,1.22276,1.22277,1.22271,1.22287,1.22288,1.2229,1.22284,84
2020-12-22 03:56:00,1.22275,1.22277,1.22281,1.22275,1.22288,1.22291,1.22294,1.22287,42
2020-12-22 03:57:00,1.22278,1.22273,1.2228,1.22273,1.22291,1.22285,1.22292,1.22285,44
2020-12-22 03:58:00,1.22272,1.22286,1.2229,1.22271,1.22285,1.22299,1.22303,1.22285,110
2020-12-22 03:59:00,1.22285,1.22283,1.22285,1.22283,1.22299,1.22296,1.22299,1.22296,48
2020-12-22 04:00:00,1.22283,1.22284,1.22285,1.22283,1.22297,1.22298,1.22299,1.22296,27
2020-12-22 04:01:00,1.22284,1.22278,1.22286,1.22278,1.22299,1.22292,1.223,1.22291,105
2020-12-22 04:02:00,1.22278,1.22274,1.22279,1.22274,1.22291,1.22288,1.22293,1.22287,90
2020-12-22 04:03:00,1.22274,1.22275,1.22277,1.22271,1.22289,1.22289,1.2229,1.22285,129
2020-12-22 04:04:00,1.22276,1.22286,1.22286,1.22274,1.22289,1.22299,1.22299,1.22288,91
2020-12-22 04:05:00,1.22285,1.22286,1.22289,1.22284,1.22299,1.22299,1.22301,1.22298,93
2020-12-22 04:06:00,1.22286,1.22285,1.22286,1.22284,1.22298,1.22298,1.223,1.22297,58
2020-12-22 04:07:00,1.22285,1.22286,1.22286,1.22283,1.22299,1.22299,1.223,1.22296,53
2020-12-22 04:08:00,1.22286,1.22289,1.22292,1.22286,1.22301,1.22303,1.22305,1.22301,96
2020-12-22 04:09:00,1.22289,1.22286,1.2229,1.22284,1.22302,1.22299,1.22302,1.22297,62
2020-12-22 04:10:00,1.22287,1.22288,1.22291,1.22287,1.22299,1.22303,1.22304,1.22299,56
2020-12-22 04:11:00,1.22288,1.2229,1.22291,1.22286,1.22302,1.22302,1.22303,1.22299,52
2020-12-22 04:12:00,1.22291,1.22288,1.22292,1.22287,1.22302,1.22299,1.22304,1.22299,85
2020-12-22 04:13:00,1.22288,1.22286,1.2229,1.22282,1.223,1.22298,1.22301,1.22294,73
2020-12-22 04:14:00,1.22287,1.22281,1.22287,1.22279,1.22298,1.22294,1.22298,1.22291,72
2020-12-22 04:15:00,1.22281,1.22283,1.22285,1.22278,1.22293,1.22296,1.22298,1.2229,65
2020-12-22 04:16:00,1.22282,1.22284,1.22289,1.22282,1.22296,1.22298,1.22301,1.22295,49
2020-12-22 04:17:00,1.22285,1.22269,1.22287,1.22269,1.22298,1.22283,1.22299,1.22283,82
2020-12-22 04:18:00,1.2227,1.22257,1.22272,1.22256,1.22283,1.22269,1.22285,1.22268,93
2020-12-22 04:19:00,1.22258,1.22254,1.22258,1.22252,1.22269,1.22267,1.22269,1.22264,57
2020-12-22 04:20:00,1.22254,1.22256,1.22257,1.22248,1.22266,1.22269,1.2227,1.22261,72
2020-12-22 04:21:00,1.22256,1.22257,1.22264,1.22254,1.2227,1.2227,1.22277,1.22268,78
2020-12-22 04:22:00,1.22256,1.22266,1.22267,1.22256,1.22269,1.22279,1.22279,1.22269,73
2020-12-22 04:23:00,1.22267,1.22262,1.22271,1.2226,1.22279,1.22275,1.22284,1.22275,80
2020-12-22 04:24:00,1.22262,1.22258,1.22263,1.22252,1.22276,1.2227,1.22276,1.22265,71
